Object,WWTurl,Distance,Size,Notes
Aquarius,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-15,23,0,0,0",(see Wikipedia - Aquarius),,"Aquarius, ""The Water-Bearer"", is one of the constellations of the zodiac. Eleven exoplanet systems have been found in Aquarius as of 2013. Deep-sky objects: Helix Nebula (NGC 7293)."
Aries,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=20.0,3.0,0,0,0",(see Wikipedia - Aries & Teegarden's star),,"Aries, ""The Ram"", is one of the constellations of the zodiac. Notable objects: NGC 772 (an unbarred spiral galaxy w/ a notable supernova); Arp 276 (a pair of interacting galaxies NGC 935, the northern member of the pair, & IC 1801)."
Cancer,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=20,9,0,0,0",(see Wikipedia - Cancer),,"Cancer, ""The Crab"", is one of the constellations of the zodiac. Notable objects: the open clusters Beehive Cluster (a.k.a. Praesepe, or Messier 44) & Messier 67."
Capricornus,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-20,21,0,0,0",(see Wikipedia - Capricornus),,"Capricornus, ""The (horned) Goat"", is one of the constellations of the zodiac. Its brightest star is Deneb Algedi. M30"
Cassiopeia,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=60,1,0,0,0",(see Wikipedia - Cassiopeia),,"The four brightest stars of Cassiopeia are all brighter than third magnitude; Alpha Cassiopeiae, traditionally called ""Shedir"", is a double star. Deep-sky objects: Two open clusters, M52 (NGC 7654) & M103 (NGC 581); SN 1572 (a.k.a. Tycho's Supernova)."
Gemini,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=20,7,0,0,0",(see Wikipedia - Gemini),,"Gemini, ""The Twins"", is one of the constellations of the zodiac. Notable objects: the open cluster M35 (NGC 2168)."
Hercules,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=30,17,0,0,0","20.62 ly, 6.32 pc (i.e., distance to its nearest star, Gliese 661)",,"The constellation Hercules is named after the Roman mythological hero, which was adapted from the Greek hero ""Heracles"". Its brightest star is __."
Hydra,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-20,10,0,0,0","20.67 ly, 6.34 pc (i.e., distance to its nearest star, LHS 3003)",,"Hydra is the largest of the 88 modern constellations, measuring 1303 square degrees, & is also one of the longest at over 100 degrees. It is commonly represented as a water snake. It should not be confused with the similarly named constellation of Hydrus. Its brightest star is Alphard (designated Alpha Hydrae), an orange giant of magnitude 2.0, 177 light-years from Earth."
Leo,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=15,11,0,0,0",(see Wikipedia - Leo),,"Leo, ""The Lion"", is one of the constellations of the zodiac. Notable objects: Messier 95; the Leo Triplet (M66 Group), a small group of spiral galaxies (M65, M66, & NGC 3628)."
Libra,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-15,15,0,0,0",(see Wikipedia - Libra),,"Libra is one of the constellations of the zodiac. Its name is Latin for ""weighing scales"". Libra is home to a planetary system consisting of at least 6 planets around the red dwarf star Gliese 581, incl. one planet that is considered to be the first Earth-like extrasolar planet to be found within its parent star's habitable zone (for more details, see Wikipedia - Gleisa_581)."
Lyra,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=40,19,0,0,0","18.51 ly, 5.67 pc (i.e., distance to its nearest star, 2MASS J18353790+3259545)",,"Lyra (Latin for ""lyre"") is a small constellation. Its brightest star is Vega, which is a corner of the Summer Triangle and, with an apparent brightness of 0.03m, is the third brightest star of the northern hemisphere. In Lyra are the objects M56 (a globular cluster), M57 (a.k.a. the ""Ring Nebula""), and Kuiper 90 (a red dwarf system, a.k.a. ""17 Lyrae C"")."
Ophiuchus,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=0,17,0,0,0",(see Wikipedia - Ophiuchus),,"Ophiuchus (pronounced ""Ofyookus"", Greek for ""serpent-bearer"") is one of thirteen constellations that cross the ecliptic. It has therefore been called the ""13th sign of the zodiac"". Deep-sky objects: M9, M10, M12, M14, M19, M62, and M107, as well as the nebula IC 4603-4604."
Orion,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=0,5.5,0,0,0","17.51 ly, 5.37 pc (nearest star in the constellation) to 1,359 ly [farthest of the 7 main stars in the constellation, Alnilam (Epsilon Orionis, _ Orionis)]",Area = 594 sq. deg. (26th),"Orion, ""The Hunter"" (from Greek mythology). Betelgeuse (_ Ori), Orion Nebula(M42) (example of a edge-on proplyd & face-on proplyd), Horsehead Nebula."
Pisces,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=15,1,0,0,0",(see Wikipedia - Pisces),,"Pisces (Latin plural for ""fish"") is one of the constellations of the zodiac. Its brightest star is Eta Piscium. Deep-sky objects: M74 (a loosely-wound (type Sc) spiral galaxy), CL 0024+1654 (a massive galaxy cluster that lenses the galaxy behind it), CL0024+17 (ditto), & 3C 31 (an active galaxy and radio source in Perseus)."
Sagittarius,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-25,19,0,0,0",(see Wikipedia - Sagittarius),,"Sagittarius, ""The Archer"", is one of the constellations of the zodiac. Its brightest star is Kaus Australis. M20 (Trifid Nebula) & Sagittarius Star Cloud"
Scorpius,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-30.736666666667,16.8875,0,0,0","980 ly (distance to Ptolemy Cluster, near the ""stinger"") (see also Wikipedia - Scorpius)",50 ly (size of Ptolemy Cluster),"Scorpius, ""The Scorpion"", is the constellation that corresponds to the Zodiacal sign of Scorpio. Its brightest star is Antares. Near the ""stinger"" is a naked eye open star cluster called the Ptolemy Cluster(M7), which has been known since ancient times. Also, the Butterfly Cluster(M6)."
Taurus,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=15,4,0,0,0",(see Wikipedia - Taurus),,"Taurus, ""The Bull"", is one of the constellations of the zodiac. Notable objects: Pleiades (M45), an open cluster easily visible to the naked eye; the Crab Nebula (M1, NGC 1952, Taurus A), a supernova remnant & pulsar wind nebula."
Ursa Major,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=55.38,10.67,0,0,0",(see Wikipedia - Ursa Major),,"Ursa Major (Latin: ""Larger Bear""), a.k.a. the Great Bear, contains Bode's Galaxy (M81 or NGC 3031); Cigar Galaxy (M82 or NGC 3034); Mayall's Object; the Pinwheel Galaxy (M101)."
Ursa Minor,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=75,15,0,0,0",(see Wikipedia - Ursa Minor),,"Ursa Minor (Latin: ""Smaller Bear""), also known as the Little Bear, is a constellation in the northern sky. Like the Great Bear, the tail of the Little Bear may also be seen as the handle of a ladle, hence the name Little Dipper. Ursa Minor is notable as the location of the north celestial pole, although this will change after some centuries due to the precession of the equinoxes."
Virgo,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=0,13,0,0,0",(see Wikipedia - Virgo),,"Virgo, ""The Virgin"", is one of the constellations of the zodiac. Notable objects: M87 (a.k.a. Virgo A), the largest galaxy in the Virgo cluster & a major radio source, partially due to its jet; the Sombrero Galaxy (M104), an unbarred spiral galaxy; & the Eyes Galaxies (NGC 4435-NGC 4438, a.k.a. Arp 120), a pair of galaxies ~52 million light-years away."
