Object,Link,Distance,Size,Notes
Aries,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=20.0,3.0,0,0,0",(see Wikipedia - Aries & Teegarden's star),,"Aries, ""The Ram"", is one of the constellations of the zodiac, the groups of stars through which the apparent course of the sun passes during the year. Aries (the Latin word for ram) is located in the Northern Hemisphere between the constellations Pisces (to the west) & Taurus (to the east). Its brightest star is Hamal, & its nearest star is Teegarden's Star. As of 2002, the Sun resides in the constellation Aries from April 19 to May 20 as it moves through the ecliptic. Several meteor showers appear to radiate from Aries, incl. the Daytime Arietids & the Epsilon Arietids. Deep-sky objects: NGC 772 (an unbarred spiral galaxy w/ a notable supernova), NGC 678 & NGC 680 (a pair of galaxies only ~200,000 light-years apart), NGC 821 (an E6 elliptical galaxy, which has hints of an early spiral structure), Arp 276 (a pair of interacting galaxies NGC 935, the northern member of the pair, & IC 1801), & Segue 2 (a dwarf spheroidal galaxy that is a satellite galaxy of the Milky Way, recently discovered to be a potential relic of the epoch of reionization). Aries contains several stars with extrasolar planets."
Taurus,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=15,4,0,0,0",(see Wikipedia - Taurus),,"Taurus, ""The Bull"", is one of the constellations of the zodiac. Its brightest star is Aldebaran, an orange-hued, spectral class K5 III giant star. During November, the Taurid meteor shower appears to radiate from the general direction of Taurus. In the northeastern quadrant of the Taurus constellation lie the Pleiades (M45), one of the best known open clusters, easily visible to the naked eye. Also, a supernova remnant & pulsar wind nebula called the Crab Nebula (M1, NGC 1952, Taurus A)."
Gemini,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=20,7,0,0,0",(see Wikipedia - Gemini),,"Gemini, ""The Twins"", is one of the constellations of the zodiac, and it is associated with the twins Castor & Pollux in Greek mythology. Correspondingly, the two brightest stars in Gemini are named Castor & Pollux, with the brightest being Pollux. Pollux has an extrasolar planet revolving around it, as do two other stars in Gemini, HD 50554 & HD 59686. To look at Gemini is to look away from the Milky Way; as a result, there are relatively few deep-sky objects of note, incl. the Eskimo Nebula (a.k.a., Clown Face Nebula, or NGC 2392) & Medusa Nebula, the open cluster M35 (NGC 2168), & Geminga (a neutron star ~550 light years from Earth). Other objects of note are NGC 2129, NGC 2158, NGC 2266, NGC 2331, NGC 2355, and NGC 2395."
Cancer,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=20,9,0,0,0",(see Wikipedia - Cancer),,"Cancer, ""The Crab"", is one of the constellations of the zodiac. Its brightest star is Al Tarf. Cancer is best known among stargazers as the home of an open cluster called the Beehive Cluster (a.k.a. Praesepe, or Messier 44), 577 light-years from Earth. The smaller, denser open cluster Messier 67 can also be found in Cancer, 2500 light-years from Earth."
Leo,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=15,11,0,0,0",(see Wikipedia - Leo),,"Leo, ""The Lion"", is one of the constellations of the zodiac. Its brightest star is Regulus. Leo contains many bright galaxies; Messier 65, Messier 66, Messier 95, Messier 96, Messier 105, and NGC 3628 are the most famous, the first two being part of the Leo Triplet (M66 Group), a small group of spiral galaxies (M65, M66, & NGC 3628) ~35 million light-years away. The M96 Group is located physically near the Leo Triplet; these two groups may actually be separate parts of a much larger group. The Leo Ring, a cloud of hydrogen and helium gas, is found in orbit of two galaxies found within this constellation. The Leonids meteor shower occur in November, peaking on November 14–15."
Virgo,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=0,13,0,0,0",(see Wikipedia - Virgo),,"Virgo, ""The Virgin"", is one of the constellations of the zodiac. Its brightest star is Spica. There are 34 known exoplanets orbiting 28 stars in Virgo, including PSR B1257+12 (three planets), 70 Virginis (one planet), Chi Virginis (one planet), 61 Virginis (three planets), and NY Virginis (two planets). Because of the presence of a galaxy cluster (consequently called the Virgo cluster) within its borders , this constellation is especially rich in galaxies. M87 (a.k.a. Virgo A) is the largest galaxy in the Virgo cluster, & it is a major radio source, partially due to its jet of electrons being flung out of the galaxy by its central supermassive black hole (the jet is visible in several different wavelengths). Virgo also contains the Sombrero Galaxy (M104), an unbarred spiral galaxy, & the Eyes Galaxies (NGC 4435-NGC 4438, a.k.a. Arp 120), a pair of galaxies ~52 million light-years away."
Libra,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-15,15,0,0,0",(see Wikipedia - Libra),,"Libra is one of the constellations of the zodiac. Its name is Latin for ""weighing scales"". It is fairly faint, with no first magnitude stars; its brightest star is Zubeneschamali. Libra is home to a planetary system consisting of at least 6 planets around the red dwarf star Gliese 581, incl. one planet that is considered to be the first Earth-like extrasolar planet to be found within its parent star's habitable zone (for more details, see Wikipedia - Gleisa_581). Deep-sky objects: NGC 5897 (bright globular cluster)."
Scorpius,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-30.736666666667,16.8875,0,0,0","980 lyrs (distance to Ptolemy Cluster, near the ""stinger"") (see also Wikipedia - Scorpius)",50 lyrs (size of Ptolemy Cluster),"Scorpius, ""The Scorpion"", is the constellation that corresponds to the Zodiacal sign of Scorpio. Its brightest star is Antares. Near the ""stinger"" is a naked eye open star cluster called the Ptolemy Cluster(M7), which has been known since ancient times. Also, the Butterfly Cluster(M6)."
Sagittarius,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-25,19,0,0,0",(see Wikipedia - Sagittarius),,"Sagittarius, ""The Archer"", is one of the constellations of the zodiac. Its brightest star is Kaus Australis. M20 (Trifid Nebula) & Sagittarius Star Cloud"
Capricornus,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-20,21,0,0,0",(see Wikipedia - Capricornus),,"Capricornus, ""The (horned) Goat"", is one of the constellations of the zodiac. Its brightest star is Deneb Algedi. M30"
