Object,Link,Distance,Size,Notes
Andromeda(M31),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=41.269444444444,0.71566666666667,12,0,0",2.5Mly (778 kpc),"220,000 light-years (67,000 pc)across","The nearest spiral galaxy to the Milky Way, the two are expected to collide in about 4.5 billion years."
Antennae Galaxies,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-18.8808333333333,12.0313888888889,0.328437261281337,4.91659250286803,0",45 Mly,,The Antennae Galaxies (a.k.a. NGC 4038/NGC 4039 or Caldwell 60/61) are two galaxies that are currently colliding and will eventually become one object. The collision is compressing gas resulting in a phase of heavy star formation known as starburst.
Black Eye Galaxy(M64),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=21.6844444444444,12.9452777777778,0.21962449754760,-1.9006635554218,0",24 Mly,,This is a spiral galaxy with thick dust that blocks out starlight. It is strange because the dust orbits in the opposite direction of the stars.
Bode's(M81),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=69.065277777778,9.9258888888889,2.23696695113765,0,0",11.8Mly (3.6Mpc),,"Bode's Galaxy (a.k.a., Messier 81 or NGC 3031) is a spiral galaxy named for Johann Elert Bode who discovered this galaxy in 1774. It is the largest galaxy in the M81 Group, a group of 34 galaxies located in the constellation Ursa Major, and lies ~11.7 Mly (3.6 Mpc) from Earth. Messier 81 is gravitationally interacting with Messier 82 and NGC 3077. Messier 81 has an active galactic nucleus, which harbors a 70 million M supermassive black hole. One supernova (SN 1993J) has been detected in Messier 81, discovered on 28 March 1993 by F. Garcia in Spain."
Cartwheel,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-33.71638888888889,0.6280833333333333,0.15,0,0",500 Mly,"150,000 ly","This is a lenticular galaxy & ring galaxy about 2.9–4.8 × 109 solar masses, & rotates at 217 km/s. It was discovered by Fritz Zwicky in 1941. It shows non-thermal radio & optical spokes, but they are not the same spokes. It was once a normal spiral galaxy before it apparently underwent a head-on collision with a smaller companion approximately 200 million years prior to the image."
Centaurus A,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-43.0047222222222,13.425,1.9367296384201,0,0",10-15 Mly,,This galaxy is round in shape with a strange line of dust seen through the middle. It is believed its strange shape resulted from two galaxies merging together.
Cigar Galaxy (M82),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=69.6838888888889,9.92944444444444,1.15360491032996,0,0",11.5 Mly,,"This is a starburst galaxy that produces new, hot stars at a very high rate. It is about 5 times brighter than the Milky Way."
ESO 510-G13,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-26.7786111111111,13.9177777777778,0.201488308219046,0.700575161750524,0",150 Mly,,"This is a disk shaped galaxy, known as a spiral galaxy, viewed from its side. Its disk is not straight, but warped likely due to gravitational interactions with another galaxy in the past."
Eyes Galaxies,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=13.016848675626,12.4614012036913,1.4098655715537,0.00628318530717959,0",52 Mly,,"These are two galaxies that are interacting with one another, resulting in the odd shapes you see. They are part of the Markarian Chain of Galaxies, a curved line of galaxies that appear to move together."
Hoag's Object,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=21.5852777777778,15.2875,0.120531547960043,0,0",600 Mly,121 kly,"This is a ring galaxy, characterized by it's blue ring and central yellow bulge. It is not a typical shape for a galaxy and its structure is a mystery for astronomers."
